[0701/141228.673:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0709/195343.234:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195348.243:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195353.253:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195358.258:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195403.272:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195408.281:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195413.294:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195418.302:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195423.306:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195428.325:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195433.337:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195438.356:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195443.376:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195448.382:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195453.391:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195458.400:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195503.407:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195508.422:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195513.434:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195518.446:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195523.450:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195528.461:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195533.474:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195538.493:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195543.499:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195548.506:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195553.520:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195558.529:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195603.536:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195608.544:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195613.559:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195618.577:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195623.583:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195628.588:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195633.595:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195638.613:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195643.630:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195648.639:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195653.655:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195658.662:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195703.678:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195708.684:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195713.691:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195718.697:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195723.714:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195728.733:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195733.752:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195738.767:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195743.775:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195748.782:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195753.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195758.808:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195803.815:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195808.823:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195813.834:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195818.840:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195823.846:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195828.853:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195833.875:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195838.890:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195843.907:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195848.918:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195853.930:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195858.940:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195903.953:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195908.965:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195913.978:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195918.995:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195924.010:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195929.034:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195934.041:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195939.048:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195944.063:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195949.082:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195954.099:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/195959.114:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200004.133:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200009.147:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200014.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200019.168:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200024.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200029.194:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200034.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200039.224:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200044.237:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200049.254:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200054.259:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200059.268:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200104.287:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200109.303:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200114.318:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200119.331:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200124.344:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200129.361:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200134.372:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200139.390:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200144.406:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200149.421:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200154.431:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200159.449:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200204.459:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200209.472:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200214.476:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200219.495:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200224.508:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200229.526:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200234.536:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200239.551:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200244.564:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200249.577:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200254.589:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200259.603:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200304.618:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200309.629:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200314.637:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200319.656:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200324.662:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200329.677:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200334.696:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200339.707:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200344.722:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200349.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200354.758:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200359.777:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200404.782:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200409.789:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200414.805:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200419.821:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200424.839:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200429.853:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200434.871:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200439.891:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200444.897:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200449.914:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200454.925:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200459.933:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200504.948:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200509.956:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200514.964:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200519.983:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200524.992:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200529.997:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200535.009:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200540.027:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200545.043:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200550.053:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200555.061:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200600.081:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200605.096:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200610.108:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200615.112:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200620.118:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200625.135:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200630.148:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200635.157:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200640.164:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200645.173:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200650.179:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200655.191:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200700.201:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200705.215:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200710.227:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200715.236:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200720.251:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200725.255:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200730.267:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200735.279:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200740.298:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200745.312:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200750.328:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200755.340:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200800.356:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200805.368:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200810.383:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200815.389:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200820.407:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200825.418:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200830.431:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200835.440:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200840.458:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200845.469:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200850.487:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200855.501:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200900.517:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200905.531:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200910.545:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200915.550:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200920.569:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200925.582:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200930.597:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200935.616:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200940.622:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200945.628:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200950.637:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/200955.642:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201000.648:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201005.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201010.676:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201015.684:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201020.699:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201025.710:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201030.726:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201035.739:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201040.754:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201045.773:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201050.781:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201055.794:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201100.812:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201105.831:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201110.839:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201115.848:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201120.866:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201125.877:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201130.885:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201135.902:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201140.920:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201145.925:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201150.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201155.940:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201200.949:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201205.960:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201210.973:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201215.977:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201220.983:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201225.989:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201230.998:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201236.014:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201241.038:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201246.057:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201251.073:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201256.090:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201301.106:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201306.119:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201311.134:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201316.149:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201321.158:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201326.169:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201331.173:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201336.192:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201341.205:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201346.216:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201351.230:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201356.249:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201401.264:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201406.280:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201411.291:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201416.302:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201421.308:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201426.321:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201431.330:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201436.343:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201441.354:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201446.365:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201451.382:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/201456.403:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/202357.191:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202357.193:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202424.874:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202424.874:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202431.439:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202431.439:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202432.069:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202432.069:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202432.374:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202432.374:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202433.002:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202433.002:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202434.245:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202434.245:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202558.700:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202558.701:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202600.278:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202600.278:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202602.455:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202602.455:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202609.570:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202609.571:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202647.692:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202647.692:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202654.189:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202654.189:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202812.691:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202812.691:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202817.075:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202817.075:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202822.390:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202822.391:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202822.692:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202822.692:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202930.843:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202930.843:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202932.429:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202932.429:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/202933.334:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/202933.334:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/203901.480:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/203901.481:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0709/203903.347:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0709/203903.347:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
